央视,#genre#
CCTV7,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225644/index.m3u8
CCTV7,http://183.207.249.9/PLTV/3/224/3221225546/1.m3u8
CCTV8,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV8,http://223.110.243.170/PLTV/3/224/3221227204/index.m3u8
CCTV8,http://223.110.245.139:80/PLTV/4/224/3221227304/index.m3u8
CCTV8,http://223.110.243.171/PLTV/3/224/3221227204/index.m3u8
CCTV9,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV9,http://183.207.249.6/PLTV/3/224/3221225532/1.m3u8
CCTV9,http://183.207.249.6/PLTV/3/224/3221225532/index.m3u8
CCTV10,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV10,http://223.110.245.170/PLTV/3/224/3221225550/index.m3u8
CCTV10,http://183.207.249.14/PLTV/3/224/3221225550/index.m3u8
CCTV10,http://183.207.249.71/PLTV/3/224/3221225550/index.m3u8
CCTV12,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV12,http://223.110.245.170/PLTV/3/224/3221225556/index.m3u8
CCTV12,http://223.110.245.172/PLTV/3/224/3221225556/index.m3u8
CCTV12,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225495/index.m3u8?fmt=ts2hls
CCTV12,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225637/index.m3u8
CCTV14,http://223.110.245.169/PLTV/3/224/3221227201/index.m3u8
CCTV5+,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226477/index.m3u8
CCTV5+,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226609/index.m3u8
CCTV5+,http://223.110.245.139:80/PLTV/4/224/3221227480/index.m3u8
CCTV4欧洲,http://[2409:8087:6a01:1020::c]/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226268/1/index.m3u8?fmt=ts2hls
CCTV4欧洲,http://[2409:8087:6a01:1020::d]/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226189/1/index.m3u8?fmt=ts2hls
CCTV4欧洲,http://[2409:8087:6a01:1020::e]/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226266/1/index.m3u8?fmt=ts2hls
CCTV4,http://[2409:8087:6a01:1020::c]/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225779/1/index.m3u8?fmt=ts2hls
CCTV4美洲,http://[2409:8087:6a01:1020::11]/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226269/1/index.m3u8?fmt=ts2hls
CCTV4美洲,http://[2409:8087:6a01:1020::e]/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226300/1/index.m3u8?fmt=ts2hls
CCTV2,http://39.134.39.39/PLTV/88888888/224/3221226220/index.m3u8
CCTV3,http://39.134.39.39/PLTV/88888888/224/3221226251/index.m3u8
